iter	Passed	Remaining
432	2245	2940
433	2250	2934
434	2255	2929
435	2264	2929
436	2269	2923
437	2292	2941
438	2302	2941
439	2306	2935
440	2326	2948
441	2330	2941
442	2334	2935
443	2338	2928
444	2342	2922
445	2348	2916
446	2352	2910
447	2356	2903
448	2359	2895
449	2364	2890
450	2369	2883
451	2373	2877
452	2402	2900
453	2407	2895
454	2410	2887
455	2414	2880
456	2418	2873
457	2420	2865
458	2426	2859
459	2430	2853
460	2435	2847
461	2440	2841
462	2443	2834
463	2448	2827
464	2452	2821
465	2456	2814
466	2459	2807
467	2462	2799
468	2467	2794
469	2471	2786
470	2475	2780
471	2479	2773
472	2483	2767
473	2487	2760
474	2490	2753
475	2495	2747
476	2500	2741
477	2504	2734
478	2508	2728
479	2513	2722
480	2517	2716
481	2521	2710
482	2526	2704
483	2531	2698
484	2534	2691
485	2539	2685
486	2544	2680
487	2552	2677
488	2556	2671
489	2561	2665
490	2565	2659
491	2569	2652
492	2574	2648
493	2578	2641
494	2582	2634
495	2585	2627
496	2590	2621
497	2593	2614
498	2597	2607
499	2600	2600
500	2604	2593
501	2608	2587
502	2612	2581
503	2617	2575
504	2621	2569
505	2626	2564
506	2630	2558
507	2633	2550
508	2638	2544
509	2641	2537
510	2644	2530
511	2647	2523
512	2651	2517
513	2655	2511
514	2659	2504
515	2662	2496
516	2665	2490
517	2668	2483
518	2673	2477
519	2676	2470
520	2680	2464
521	2687	2461
522	2692	2455
523	2695	2448
524	2698	2441
525	2704	2436
526	2711	2433
527	2716	2428
528	2720	2422
529	2724	2416
530	2728	2409
531	2732	2403
532	2735	2396
533	2739	2390
534	2742	2383
535	2746	2377
536	2751	2371
537	2756	2366
538	2762	2362
539	2766	2356
540	2771	2351
541	2775	2345
542	2780	2340
543	2784	2333
544	2787	2327
545	2791	2320
546	2797	2316
547	2800	2309
548	2804	2303
549	2810	2299
550	2814	2293
551	2818	2287
552	2822	2281
553	2829	2277
554	2833	2271
555	2843	2270
556	2848	2265
557	2853	2260
558	2863	2258
559	2866	2252
560	2870	2246
561	2875	2241
562	2878	2234
563	2881	2227
564	2885	2221
565	2890	2216
566	2895	2211
567	2899	2204
568	2904	2199
569	2908	2194
570	2913	2188
571	2917	2183
572	2921	2177
573	2926	2171
574	2930	2165
575	2934	2159
576	2938	2154
577	2943	2148
578	2948	2143
579	2954	2139
580	2959	2134
581	2964	2129
582	2970	2124
583	2974	2118
584	2980	2114
585	2985	2109
586	2995	2107
587	3002	2103
588	3011	2101
589	3020	2099
590	3028	2095
591	3032	2089
592	3040	2086
593	3052	2086
594	3058	2081
595	3063	2076
596	3069	2072
597	3075	2067
598	3081	2063
599	3091	2061
600	3096	2055
601	3102	2051
602	3108	2046
603	3128	2050
604	3137	2048
605	3143	2043
606	3149	2039
607	3155	2034
608	3162	2030
609	3168	2025
610	3175	2021
611	3180	2016
612	3185	2011
613	3190	2005
614	3195	2000
615	3200	1995
616	3209	1992
617	3216	1988
618	3221	1982
619	3227	1977
620	3235	1974
621	3240	1969
622	3256	1970
623	3261	1965
624	3266	1959
625	3274	1956
626	3280	1951
627	3290	1949
628	3295	1943
629	3313	1945
630	3320	1941
631	3325	1936
632	3330	1931
633	3335	1925
634	3340	1920
635	3345	1914
636	3350	1909
637	3355	1904
638	3362	1899
639	3367	1894
640	3374	1889
641	3380	1885
642	3385	1879
643	3390	1874
644	3407	1875
645	3418	1873
646	3423	1867
647	3428	1862
648	3434	1857
649	3441	1853
650	3462	1856
651	3475	1854
652	3482	1850
653	3489	1846
654	3494	1840
655	3509	1840
656	3514	1834
657	3528	1834
658	3537	1830
659	3543	1825
660	3550	1820
661	3556	1815
662	3563	1811
663	3569	1806
664	3573	1800
665	3581	1795
666	3586	1790
667	3595	1786
668	3601	1781
669	3634	1790
670	3641	1785
671	3648	1780
672	3656	1776
673	3667	1773
674	3672	1768
675	3676	1762
676	3682	1756
677	3690	1752
678	3695	1747
679	3703	1742
680	3713	1739
681	3720	1734
682	3730	1731
683	3736	1726
684	3743	1721
685	3749	1716
686	3756	1711
687	3769	1709
688	3775	1704
689	3780	1698
690	3788	1694
691	3832	1705
692	3839	1701
693	3888	1714
694	3898	1710
695	3905	1705
696	3912	1700
697	3918	1695
698	3924	1689
699	3940	1688
700	3966	1691
701	3973	1686
702	3978	1680
703	3984	1675
704	3988	1669
705	3997	1664
706	4011	1662
707	4018	1657
708	4024	1651
709	4031	1646
710	4041	1642
711	4052	1639
712	4059	1633
713	4066	1628
714	4071	1622
715	4084	1619
716	4091	1614
717	4104	1611
718	4111	1606
719	4131	1606
720	4146	1604
721	4153	1599
722	4163	1595
723	4172	1590
724	4179	1585
725	4185	1579
726	4191	1573
727	4197	1568
728	4203	1562
729	4224	1562
730	4230	1556
